name,slug,metro
Chateau de Vincennes,chateau+de+vincennes,Métro 1
Berault,berault,Métro 1
Saint-Mande,saint+mande,Métro 1
Porte de Vincennes,porte+de+vincennes,Métro 1
Nation,nation,Métro 1
Reuilly-Diderot,reuilly+diderot,Métro 1
Gare de Lyon,gare+de+lyon,Métro 1
Bastille,bastille,Métro 1
Saint-Paul (Le Marais),saint+paul+(le+marais),Métro 1
Hotel de Ville,hotel+de+ville,Métro 1
Chatelet,chatelet,Métro 1
Louvre-Rivoli,louvre+rivoli,Métro 1
Palais-Royal (Musee du Louvre),palais+royal+(musee+du+louvre),Métro 1
Tuileries,tuileries,Métro 1
Concorde,concorde,Métro 1
Champs-Elysees-Clemenceau,champs+elysees+clemenceau,Métro 1
Franklin-Roosevelt,franklin+roosevelt,Métro 1
George V,george+v,Métro 1
Charles de Gaulle-Etoile,charles+de+gaulle+etoile,Métro 1
Argentine,argentine,Métro 1
Porte Maillot,porte+maillot,Métro 1
Les Sablons (Jardin d'acclimatation),les+sablons+(jardin+d'acclimatation),Métro 1
Pont de Neuilly,pont+de+neuilly,Métro 1
Esplanade de la Defense,esplanade+de+la+defense,Métro 1
La Defense (Grande Arche),la+defense+(grande+arche),Métro 1
Nation,nation,Métro 2
Avron,avron,Métro 2
Alexandre-Dumas,alexandre+dumas,Métro 2
Philippe Auguste,philippe+auguste,Métro 2
Pere-Lachaise,pere+lachaise,Métro 2
Menilmontant,menilmontant,Métro 2
Couronnes,couronnes,Métro 2
Belleville,belleville,Métro 2
Colonel Fabien,colonel+fabien,Métro 2
Jaures,jaures,Métro 2
Stalingrad,stalingrad,Métro 2
La Chapelle,la+chapelle,Métro 2
Barbes-Rochechouart,barbes+rochechouart,Métro 2
Anvers,anvers,Métro 2
Pigalle,pigalle,Métro 2
Blanche,blanche,Métro 2
Place de Clichy,place+de+clichy,Métro 2
Rome,rome,Métro 2
Villiers,villiers,Métro 2
Monceau,monceau,Métro 2
Courcelles,courcelles,Métro 2
Ternes,ternes,Métro 2
Charles de Gaulle-Etoile,charles+de+gaulle+etoile,Métro 2
Victor Hugo,victor+hugo,Métro 2
Porte Dauphine (Marechal de Lattre de Tassigny),porte+dauphine+(marechal+de+lattre+de+tassigny),Métro 2
Gallieni (Parc de Bagnolet),gallieni+(parc+de+bagnolet),Métro 3
Porte de Bagnolet,porte+de+bagnolet,Métro 3
Gambetta,gambetta,Métro 3
Pere-Lachaise,pere+lachaise,Métro 3
Rue Saint-Maur,rue+saint+maur,Métro 3
Parmentier,parmentier,Métro 3
Republique,republique,Métro 3
Temple,temple,Métro 3
Arts-et-Metiers,arts+et+metiers,Métro 3
Reaumur-Sebastopol,reaumur+sebastopol,Métro 3
Sentier,sentier,Métro 3
Bourse,bourse,Métro 3
Quatre Septembre,quatre+septembre,Métro 3
